N,seed,solver,t,status
10,0,slsqp,0.013616800308227539,ok
10,0,trust-constr,0.2739429473876953,ok
10,0,ipopt,0.04422783851623535,ok
10,0,pyomo_cbc,0.0727088451385498,ok
10,0,pyomo_glpk,0.040567874908447266,ok
10,0,cvxpy_cbc,0.022503137588500977,ok
10,0,cvxpy_glpk,0.011208057403564453,ok
10,0,ecos,0.011483907699584961,ok
10,1,slsqp,0.01754307746887207,ok
10,1,trust-constr,0.1860198974609375,ok
10,1,ipopt,0.040992021560668945,ok
10,1,pyomo_cbc,0.14916419982910156,ok
10,1,pyomo_glpk,0.034635066986083984,ok
10,1,cvxpy_cbc,0.06484699249267578,ok
10,1,cvxpy_glpk,0.012197732925415039,ok
10,1,ecos,1.9829998016357422,optimal_inaccurate
10,2,slsqp,0.00933980941772461,ok
10,2,trust-constr,0.6725890636444092,ok
10,2,ipopt,0.0418391227722168,ok
10,2,pyomo_cbc,0.05907416343688965,ok
10,2,pyomo_glpk,0.03964829444885254,ok
10,2,cvxpy_cbc,0.018125057220458984,ok
10,2,cvxpy_glpk,0.009390115737915039,ok
10,2,ecos,0.01145792007446289,ok
10,3,slsqp,0.0108489990234375,ok
10,3,trust-constr,0.33343005180358887,ok
10,3,ipopt,0.04224085807800293,ok
10,3,pyomo_cbc,0.05746293067932129,ok
10,3,pyomo_glpk,0.03165173530578613,ok
10,3,cvxpy_cbc,0.017420053482055664,ok
10,3,cvxpy_glpk,0.008932113647460938,ok
10,3,ecos,0.011480093002319336,ok
10,4,slsqp,0.019743919372558594,ok
10,4,trust-constr,0.7977080345153809,ok
10,4,ipopt,0.04726004600524902,ok
10,4,pyomo_cbc,0.06773209571838379,ok
10,4,pyomo_glpk,0.03442716598510742,ok
10,4,cvxpy_cbc,0.018365144729614258,ok
10,4,cvxpy_glpk,0.009572982788085938,ok
10,4,ecos,0.01055908203125,ok
20,0,slsqp,0.018858909606933594,ok
20,0,trust-constr,0.5642671585083008,ok
20,0,ipopt,0.05194687843322754,ok
20,0,pyomo_cbc,0.08910703659057617,ok
20,0,pyomo_glpk,0.039541006088256836,ok
20,0,cvxpy_cbc,0.020386695861816406,ok
