N,seed,t,status
5,0,0.4257206916809082,ok
5,1,1.7864718437194824,ok
5,2,0.3302600383758545,ok
5,3,1.047555923461914,ok
5,4,1.306445837020874,ok
5,5,1.3893179893493652,ok
5,6,0.6553280353546143,ok
5,7,1.661085844039917,ok
10,0,2.117642879486084,ok
10,1,2.3082058429718018,ok
10,2,1.615401268005371,ok
10,3,1.224402904510498,ok
10,4,6.58058500289917,ok
10,5,2.1871798038482666,ok
10,6,2.039782762527466,ok
10,7,3.0490529537200928,ok
15,0,6.633929967880249,ok
15,1,1.6082088947296143,ok
15,2,1.774116039276123,ok
15,3,5.745887994766235,ok
15,4,24.179431200027466,ok
15,5,2.9782190322875977,ok
15,6,3.291264057159424,ok
15,7,3.984490156173706,ok
20,0,7.000259876251221,ok
20,1,11.75272274017334,ok
20,2,8.173568964004517,ok
20,3,5.1893181800842285,ok
20,4,7.495989084243774,ok
20,5,42.14684581756592,ok
20,6,4.484400987625122,ok
20,7,11.729230165481567,ok
25,0,133.27111721038818,ok
25,1,64.69963693618774,ok
25,2,26.311405897140503,ok
25,3,37.71531414985657,ok
25,4,74.83330702781677,ok
25,5,212.88751792907715,ok
25,6,27.10657286643982,ok
25,7,58.012232065200806,ok
30,0,676.5745120048523,ok
30,1,567.8632171154022,ok
30,2,249.06125283241272,ok
30,3,62.64437198638916,ok
30,4,152.96147394180298,ok
30,5,36.35617780685425,ok
30,6,223.54922914505005,ok
30,7,85.37632393836975,ok
35,0,275.97756123542786,ok
35,1,1456.764032125473,ok
35,2,3784.833680868149,ok
35,3,324.6904137134552,ok
35,4,5691.126034975052,ok
35,5,1168.0633778572083,ok
35,6,1126.7255828380585,ok
35,7,828.5470588207245,ok
